data,ipca_alimento,ipca_alimento_indice
1994-07-01,10.03,100.0
1994-08-01,1.45,101.44999999999999
1994-09-01,0.13,101.581885
1994-10-01,4.79,106.44765729150001
1994-11-01,4.65,111.39747335555475
1994-12-01,0.96,112.46688909976808
1995-01-01,0.73,113.28789739019639
1995-02-01,-0.06,113.21992465176227
1995-03-01,1.44,114.85029156674764
1995-04-01,1.99,117.13581236892593
1995-05-01,0.51,117.73320501200746
1995-06-01,-0.25,117.43887199947744
1995-07-01,0.98,118.58977294507233
1995-08-01,0.57,119.26573465085924
1995-09-01,-0.03,119.22995493046399
1995-10-01,0.32,119.61149078624149
1995-11-01,1.07,120.89133373765426
1995-12-01,0.86,121.93099920779808
1996-01-01,1.28,123.49171599765789
1996-02-01,0.11,123.62755688525533
1996-03-01,-0.02,123.60283137387829
1996-04-01,0.5,124.22084553074767
1996-05-01,0.67,125.05312519580367
1996-06-01,0.67,125.89098113461554
1996-07-01,0.52,126.54561423651556
1996-08-01,-0.68,125.68510405970726
1996-09-01,-0.58,124.95613045616095
1996-10-01,0.11,125.09358219966273
1996-11-01,-0.37,124.63073594552398
1996-12-01,-0.48,124.03250841298546
1997-01-01,0.97,125.23562374459142
1997-02-01,0.72,126.1373202355525
1997-03-01,1.22,127.67619554242623
1997-04-01,-0.16,127.47191362955834
1997-05-01,-0.92,126.29917202416641
1997-06-01,-0.34,125.86975483928425
1997-07-01,-0.52,125.21523211411998
1997-08-01,-0.57,124.50150529106949
1997-09-01,-0.21,124.24005212995824
1997-10-01,0.27,124.57550027070913
1997-11-01,0.17,124.78727862116934
1997-12-01,0.59,125.52352356503424
1998-01-01,1.24,127.08001525724066
1998-02-01,0.62,127.86791135183555
1998-03-01,0.79,128.87806785151506
1998-04-01,0.85,129.97353142825293
1998-05-01,1.38,131.76716616196282
1998-06-01,0.13,131.9384634779734
1998-07-01,-0.99,130.63227268954145
1998-08-01,-1.2,129.06468541726696
1998-09-01,-0.47,128.4580813958058
1998-10-01,-0.02,128.43238977952666
1998-11-01,-0.46,127.84160078654082
1998-12-01,0.1,127.96944238732735
1999-01-01,0.9,129.12116736881327
1999-02-01,2.71,132.6203510045081
1999-03-01,2.01,135.28602005969873
1999-04-01,-0.23,134.97486221356144
1999-05-01,-0.95,133.6926010225326
1999-06-01,-1.28,131.9813357294442
1999-07-01,-0.24,131.66458052369353
1999-08-01,0.13,131.83574447837435
1999-09-01,0.34,132.28398600960082
1999-10-01,1.77,134.62541256197076
1999-11-01,1.35,136.44285563155736
1999-12-01,1.41,138.3666998959623
2000-01-01,0.84,139.52898017508838
2000-02-01,-0.25,139.18015772465066
2000-03-01,-0.46,138.53992899911725
2000-04-01,-0.36,138.04118525472043
2000-05-01,-0.67,137.1163093135138
2000-06-01,0.11,137.26713725375868
2000-07-01,1.78,139.7104922968756
2000-08-01,2.07,142.6024994874209
2000-09-01,0.53,143.35829273470426
2000-10-01,0.16,143.5876660030798
2000-11-01,-0.07,143.48715463687762
2000-12-01,-0.48,142.7984162946206
2001-01-01,0.63,143.69804631727672
2001-02-01,0.05,143.76989534043534
2001-03-01,1.17,145.45200311591844
2001-04-01,1.8,148.07013917200499
2001-05-01,0.58,148.9289459792026
2001-06-01,0.1,149.0778749251818
2001-07-01,0.67,150.0766966871805
2001-08-01,0.83,151.3223332696841
2001-09-01,0.39,151.91249036943586
2001-10-01,1.15,153.6594840086844
2001-11-01,1.31,155.67242324919818
2001-12-01,0.56,156.5441888193937
2002-01-01,0.85,157.87481442435853
