data,ipca_indice,ipca_mensal
1980-01-01,6.62,
1980-02-01,4.62,
1980-03-01,6.04,
1980-04-01,5.29,
1980-05-01,5.7,
1980-06-01,5.31,
1980-07-01,5.55,
1980-08-01,4.95,
1980-09-01,4.23,
1980-10-01,9.48,
1980-11-01,6.67,
1980-12-01,6.61,99.25
1981-01-01,6.84,99.67
1981-02-01,6.4,103.07
1981-03-01,4.97,101.03
1981-04-01,6.46,103.27
1981-05-01,5.56,103.0
1981-06-01,5.52,103.41
1981-07-01,6.26,104.78
1981-08-01,5.5,105.85
1981-09-01,5.26,107.88
1981-10-01,5.08,99.52
1981-11-01,5.27,96.89
1981-12-01,5.93,95.62
1982-01-01,6.97,95.86
1982-02-01,6.64,96.29
1982-03-01,5.71,97.68
1982-04-01,5.89,96.61
1982-05-01,6.66,98.65
1982-06-01,7.1,101.64
1982-07-01,6.36,101.84
1982-08-01,5.97,102.75
1982-09-01,5.08,102.41
1982-10-01,4.44,101.19
1982-11-01,5.29,101.22
1982-12-01,7.81,104.79
1983-01-01,8.64,108.0
1983-02-01,7.86,110.38
1983-03-01,7.34,113.63
1983-04-01,6.58,115.03
1983-05-01,6.48,114.67
1983-06-01,9.88,120.24
1983-07-01,10.08,127.94
1983-08-01,9.11,134.69
1983-09-01,10.3,146.35
1983-10-01,8.87,156.78
1983-11-01,7.38,161.9
1983-12-01,8.68,164.01
1984-01-01,9.67,166.51
1984-02-01,9.5,170.57
1984-03-01,8.94,174.59
1984-04-01,9.54,182.22
1984-05-01,9.05,189.03
1984-06-01,10.08,189.55
1984-07-01,9.72,188.62
1984-08-01,9.35,189.25
1984-09-01,11.75,193.05
1984-10-01,10.44,197.27
1984-11-01,10.53,205.97
1984-12-01,11.98,215.26
1985-01-01,11.76,221.27
1985-02-01,10.87,225.28
1985-03-01,10.16,228.93
1985-04-01,8.2,224.88
1985-05-01,7.2,219.36
1985-06-01,8.49,214.76
1985-07-01,10.31,216.44
1985-08-01,12.05,224.26
1985-09-01,11.12,222.43
1985-10-01,10.62,222.95
1985-11-01,13.97,233.02
1985-12-01,15.07,242.23
1986-01-01,14.37,250.23
1986-02-01,12.72,256.08
1986-03-01,4.77,238.65
1986-04-01,0.78,215.44
1986-05-01,1.4,198.38
1986-06-01,1.27,178.52
1986-07-01,1.71,156.8
1986-08-01,3.55,137.33
1986-09-01,1.72,117.25
1986-10-01,1.9,100.13
1986-11-01,5.45,85.17
1986-12-01,11.65,79.66
1987-01-01,13.21,77.84
1987-02-01,12.64,77.71
1987-03-01,16.37,97.39
1987-04-01,19.1,133.27
1987-05-01,21.45,179.4
1987-06-01,19.71,230.27
1987-07-01,9.21,254.63
1987-08-01,4.87,259.14
1987-09-01,7.78,280.55
1987-10-01,11.22,315.35
1987-11-01,15.08,353.27
1987-12-01,14.15,363.41
1988-01-01,18.89,386.67
